id,lnval,v_out_b,ber_y2k,lnC_raw_zero,lnL,ost,pcwork,ums03,mkost_vh,branche1,branche2,branche3,branche4,branche5,branche6,branche7,branche8,branche9,branche10,branche11,branche12,branche13,branche14
127,5.6518254,0,0,4.4416523,4.0681553,0,100,20204.598,.02,0,0,0,0,0,0,0,0,0,0,1,0,0,0
128,4.7761698,0,1,-999,3.9156747,1,50,14484.451,.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129,-999,0,0,-999,0,0,0,-999,-999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130,-999,1,1,-999,7.0252748,0,80,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131,5.0849948,1,0,9.0860062,6.5505381,1,15,25111.178,.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
132,-999,0,0,-999,4.8770251,0,40,84116.172,-999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
133,3.9813714,0,1,4.152616,2.0840206,0,25,474.45923,.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134,5.1083794,1,1,0,3.6610339,1,20,7806.2271,.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
135,4.5550413,0,1,0,4.425416,0,50,15926.522,.40000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0
136,-999,0,0,7.0115547,3.0626557,1,100,-999,.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
137,3.8437614,0,1,9.5686865,6.8288922,0,4,53606.324,.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138,4.8064933,0,0,2.4848325,1.9216261,0,30,1385.1249,.30000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0
139,4.2397285,1,1,3.0693848,4.4342108,0,20,7985.2168,.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140,-999,0,-999,4.8865924,4.7191315,0,50,5230.6392,-999,0,0,0,0,0,0,0,0,0,0,0,0,1,0
141,3.7892818,0,0,-999,4.1819768,0,50,16532.586,.55000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0
142,4.5691137,0,1,2.4864144,2.4318373,0,10,1481.9456,.34999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143,4.984488,0,0,5.9674702,4.0231647,0,90,19971.846,.40000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0
